Name,A,B,Signal
1,0.5120030999130988,0.7037801987030564,B
2,0.37577092972193793,0.8443823237726109,B
3,0.591063114428402,0.9208808663539878,B
4,0.5050032640352033,0.8808572061400869,B
5,0.8449017326309449,0.8004355337418072,B
6,0.5400290819898026,0.5694027417321424,B
7,0.9064598932852277,0.44467952762622076,A
8,0.6534601900214276,0.23211983558055452,A
9,0.5511869161152168,0.13113401335114336,A
10,0.44908559694835065,0.1313114463220989,A
11,0.36555970845396896,0.23537883440222218,A
12,0.42276752360679637,0.4316697564569532,A
13,0.5298984567244451,0.6523955579793542,B
14,0.398603759401996,0.8081108712958838,B
15,0.5883738631086545,0.947798298389924,B
16,0.4974099085192979,0.9544580033078931,B
17,0.1888933424769529,0.8766569432814308,B
18,0.19404787317966918,0.7278417732883469,B
19,0.2983365751173734,0.5193834888678166,A
20,0.639270179648138,0.37904056700414684,A
21,0.4509475910544515,0.18907113981729376,A
22,0.7814727103148663,0.20729853978631013,A
23,0.8095699702675583,0.250575518020332,A
24,0.7383392970853917,0.36148166538710236,A
25,0.5993426705133367,0.5273995264157055,A
26,0.6539862044179295,0.7385713171589421,B
27,0.8461296907903868,0.9234990423251402,B
28,0.7965551907682676,0.9943869338718142,B
29,0.9413482996505231,1.0,B
30,0.8985480202183417,0.8867638689136856,B
31,0.6905391621910918,0.6809087830487626,A
32,0.7511102420936839,0.5075070345169306,A
33,0.6984587751792669,0.3421469468453279,A
34,0.43780717624666765,0.1933913044064408,A
35,0.6337009473558713,0.2443191447008878,A
36,0.2575464457856394,0.2507803225825571,A
37,0.5652749012428145,0.471652197665424,A
38,0.6220947789625403,0.6689968561766579,A
39,0.39581874285034346,0.808736993842374,B
40,0.4396340048210959,0.932645924914862,B
41,0.45906805166670894,0.9663332629412459,B
42,0.38040577900011197,0.9008721988365836,B
43,0.6348295882157375,0.7643346185045468,B
44,0.6032343792214148,0.5552425550989762,A
45,0.7996567583697443,0.38788398837758353,A
46,0.5901226716795465,0.1804600954542861,A
47,0.6935840212262745,0.13767517526568462,A
48,1.0,0.2553687483573978,A
49,0.8066801471518665,0.3387923152399954,A
50,0.8111818532519578,0.5315224711941543,A
51,0.8256140098616601,0.7357164621374902,B
52,0.7886291021385468,0.8911388231543209,B
53,0.49759629746723616,0.9320938737083808,B
54,0.3311229052101078,0.9073222089148035,B
55,0.15560656531145747,0.812713218416191,B
56,0.38207737698318855,0.6350803851171473,B
57,0.3970880611709375,0.44638962896613865,A
58,0.21499375426021347,0.23901529353968007,A
59,0.2988140119117104,0.1426335880975714,A
60,0.5406103950005869,0.17545408274849428,A
61,0.3737002743997995,0.19643297110261532,A
62,0.6980444172241209,0.40920673843025346,A
63,0.691374518570923,0.5827815903527621,B
64,0.7362945101582015,0.7625229115836533,B
65,0.6396349913868347,0.8677968231607864,B
66,0.6995996176542213,0.9163169035608189,B
67,0.5025373423301074,0.836586851256322,B
68,0.5854390554325839,0.7024266083804988,B
69,0.40306761402292723,0.48453232625922366,B
70,0.5054776089940763,0.2936718967116251,B
71,0.38095732652660313,0.10941609286690446,B
72,0.7921928186125736,0.15362911702089496,A
73,0.6937508849849935,0.16616993729942592,A
74,0.4496331506474617,0.23120088513038237,B
75,0.3855738993168341,0.3966107523609575,B
76,0.31214035610869706,0.5696528244492518,B
77,0.15015217143952564,0.6961249082025028,B
78,0.23267746634892575,0.7932848358599766,B
79,2.2253872110169567e-16,0.7732563151262121,B
80,0.11460386367906458,0.690204522423002,B
81,0.1648564640854676,0.5460308892690539,B
82,0.11979042412451422,0.3567747705837216,B
83,0.29488084294029987,0.19493951888922048,B
84,0.4392606079446709,0.09155530232034277,B
85,0.613900025758337,0.08735779977710814,B
86,0.39266448481288885,0.07921891971706559,B
87,0.4292307321670147,0.23498712068712932,B
88,0.5959525214440596,0.4605193669108411,B
89,0.5736021061240519,0.64566229882494,B
90,0.3972704636673154,0.7667506221942108,B
91,0.6994414136984259,0.8669846967089277,B
92,0.29857033851254855,0.7798905030113064,B
93,0.3911238733192971,0.6613680805425017,B
94,0.5987289737267754,0.5279981292686496,B
95,0.21515399400624413,0.26957670140667767,B
96,0.41703118652891946,0.16844688465157726,B
97,0.26794214073977357,0.062141555748338406,B
98,0.29003940093140385,0.0869121328638432,B
99,0.045355724236926194,0.12434060502258754,B
100,0.3352106575520772,0.3528338643416741,B
